x,c0,c1,c2,c3,c4,c5
1.135,10.490878713398379,7.599128056094709,7.232238325374788,-22.956106865061297,19.040709456122134,-11.880495712440647
1.1360000000000001,10.492385881357622,7.593763943953811,7.137849965104904,-22.812119802700856,20.381316538226873,-11.878876087531385
1.137,10.49533294230185,7.590652158919776,7.0468129368861305,-22.697527726235204,21.352962526185706,-11.87581224047921
1.1380000000000001,10.495445399496521,7.585540097757158,6.955283200621155,-22.618056422697638,21.89624844555853,-11.875579600040451
1.139,10.493917959985563,7.579640000306205,6.864876494605519,-22.571566820972688,21.982906550990027,-11.876984417770318
1.1400000000000001,10.495202576950254,7.577417120609675,6.780454170090659,-22.550786023418667,21.60921965308239,-11.875575695651362
1.141,10.49577452606458,7.575355973194843,6.698887018626674,-22.555075175331375,20.778832743024825,-11.874879081160222
1.1420000000000001,10.494141202129937,7.57196918789102,6.619061588608921,-22.5809117434584,19.50740516237743,-11.87638805995012
1.143,10.492150632798877,7.569106142861559,6.543186272213536,-22.620999319499756,17.819920796797,-11.878255428576999
1.1440000000000001,10.48905951967232,7.566021226024764,6.470857066361243,-22.67053435187586,15.7420495639021,-11.881225231392406
1.145,10.484767960444646,7.562608791321868,6.402290074448449,-22.724225032801222,13.301640216847584,-11.885398020878522
1.1460000000000001,10.48074800966512,7.56033199307948,6.339247967089283,-22.775544023296007,10.528556873390361,-11.889302278045065
1.147,10.477323193574556,7.5595025733209456,6.282317506657021,-22.819569664869842,7.4512815017714615,-11.892614884526926
1.1480000000000001,10.474504515066966,7.560117085685766,6.231743640384823,-22.852221940694484,4.0973378528560005,-11.895325114504306
1.149,10.471307915076489,7.5611744964202,6.186745134176854,-22.870979485279737,0.4923672537429924,-11.898417181714105
1.1500000000000001,10.467940565297079,7.562862556513735,6.147699206422028,-22.87269930967895,-3.337837194059473,-11.901683962231456
1.151,10.465148086483131,7.565905124835397,6.115487422719133,-22.854255461105016,-7.368091638402754,-11.904379789542194
1.1520000000000001,10.462741117938625,7.570088825421046,6.09002125442206,-22.813984117701146,-11.575352722925938,-11.906693899995549
1.153,10.461986344239838,7.576654131514319,6.072632432855714,-22.749255016286867,-15.93633886269205,-11.907359423735898
1.154,10.462508758867045,7.585197648820673,6.062974901811524,-22.659526294711455,-20.430607388429042,-11.90675114285311
1.155,10.462599713878298,7.593980111629054,6.059332912790497,-22.545990744292837,-25.040201208924667,-11.906577470848433
1.156,10.460639360250026,7.601348746027411,6.060043953550191,-22.41010733113513,-29.748155829512026,-11.908458040351736
1.157,10.456757863300679,7.607398502860018,6.065161035946439,-22.251894611755247,-34.536740792634816,-11.912262502188076
1.158,10.452133885364189,7.613270714543339,6.075752874364962,-22.07058890480115,-39.388028914434365,-11.916812036761165
1.159,10.446874960946355,7.619033767603832,6.091786493342785,-21.866723081398632,-44.285839965286776,-11.921998959886098
1.16,10.438227726070899,7.621893669135252,6.110340074827865,-21.64387861814459,-49.21729763868224,-11.930576471332003
1.161,10.428945737252644,7.624562228521425,6.1339737182110365,-21.40028310669715,-54.16415992634069,-11.939790816505399
1.162,10.422896867681327,7.63086490886494,6.166340077224286,-21.133171517951563,-59.10682849174033,-11.945773859984737
1.163,10.42077651103802,7.641454421584714,6.207900894783208,-20.84304508919022,-64.028166465804,-11.947829866974269
1.164,10.419137589284272,7.652840863183703,6.254960224619986,-20.534616281117238,-68.91392378392621,-11.949405513744239
